,A,B,C,D,E,F,G,H,I,J,K,L
A,64.0,64.0,44.0,52.0,40.0,52.0,28.0,48.0,44.0,52.0,40.0,40.0
B,48.0,56.0,44.0,52.0,56.0,56.0,36.0,28.0,40.0,64.0,52.0,44.0
C,52.0,68.0,48.0,60.0,52.0,36.0,64.0,52.0,72.0,48.0,48.0,48.0
D,44.0,52.0,32.0,24.0,52.0,32.0,48.0,60.0,68.0,72.0,64.0,48.0
E,44.0,56.0,52.0,44.0,40.0,40.0,44.0,32.0,36.0,44.0,40.0,44.0
F,52.0,92.0,68.0,64.0,48.0,28.0,44.0,48.0,60.0,40.0,56.0,52.0
G,28.0,52.0,48.0,48.0,52.0,68.0,52.0,60.0,68.0,52.0,44.0,64.0
H,40.0,56.0,48.0,64.0,64.0,64.0,60.0,76.0,36.0,36.0,60.0,40.0
I,36.0,40.0,40.0,60.0,48.0,32.0,52.0,60.0,52.0,64.0,52.0,32.0
J,56.0,60.0,60.0,56.0,88.0,36.0,60.0,36.0,48.0,44.0,56.0,32.0
K,52.0,36.0,24.0,60.0,44.0,36.0,76.0,64.0,40.0,68.0,44.0,56.0
L,52.0,76.0,64.0,64.0,68.0,36.0,52.0,36.0,48.0,36.0,48.0,52.0
