,A,B,C,D,E,F,G,H,I,J,K,L
A,44.0,64.0,44.0,40.0,60.0,40.0,68.0,36.0,48.0,60.0,64.0,48.0
B,52.0,44.0,32.0,40.0,72.0,64.0,56.0,44.0,68.0,36.0,68.0,44.0
C,40.0,40.0,32.0,48.0,44.0,64.0,56.0,44.0,24.0,48.0,52.0,48.0
D,40.0,56.0,36.0,44.0,36.0,48.0,44.0,56.0,36.0,40.0,64.0,68.0
E,56.0,32.0,56.0,56.0,56.0,52.0,40.0,60.0,52.0,68.0,56.0,32.0
F,24.0,36.0,40.0,56.0,28.0,44.0,64.0,40.0,52.0,56.0,36.0,64.0
G,56.0,72.0,64.0,80.0,60.0,44.0,68.0,48.0,40.0,40.0,52.0,36.0
H,44.0,68.0,60.0,64.0,48.0,44.0,68.0,40.0,56.0,56.0,48.0,56.0
I,68.0,68.0,48.0,32.0,32.0,60.0,48.0,48.0,52.0,32.0,56.0,48.0
J,36.0,52.0,40.0,44.0,44.0,40.0,40.0,68.0,44.0,60.0,56.0,68.0
K,44.0,40.0,48.0,64.0,80.0,64.0,56.0,40.0,44.0,44.0,32.0,52.0
L,52.0,44.0,16.0,36.0,52.0,48.0,36.0,40.0,48.0,72.0,40.0,44.0
